model,country,language,timestamp,success_rate,A008_valid,A008_numeric,A008_standardized,A008_raw,A165_valid,A165_numeric,A165_standardized,A165_raw,E018_valid,E018_numeric,E018_standardized,E018_raw,E025_valid,E025_numeric,E025_standardized,E025_raw,F063_valid,F063_numeric,F063_standardized,F063_raw,F118_valid,F118_numeric,F118_standardized,F118_raw,F120_valid,F120_numeric,F120_standardized,F120_raw,G006_valid,G006_numeric,G006_standardized,G006_raw,Y002_valid,Y002_numeric,Y002_standardized,Y002_raw,Y003_valid,Y003_numeric,Y003_standardized,Y003_raw
deepseek-chat,Mali,en,2025-12-10T16:53:36.506129,100.0,True,2.0,2.0,2,True,2.0,2.0,2,True,1.0,1.0,1,True,2.0,2.0,2,True,9.0,9.0,9,True,1.0,1.0,1,True,2.0,2.0,2,True,1.0,1.0,1,True,"[1, 3]",0.0,1 3,True,"[1, 3, 4, 6, 9]",1.0,1 3 4 6 9
deepseek-chat,Egypt,fr,2026-03-02T12:47:52.902889,100.0,True,3.0,3.0,3,True,2.0,2.0,2,True,1.0,1.0,1,True,2.0,2.0,2,True,10.0,10.0,10,True,2.0,2.0,2,True,2.0,2.0,2,True,1.0,1.0,1,True,"[3, 1]",0.6666666666666666,3 1,True,"[1, 4, 6, 9, 11]",1.0,1 4 6 9 11
deepseek-chat,Algeria,fr,2026-03-02T12:47:07.076805,100.0,True,2.0,2.0,2,True,2.0,2.0,2,True,1.0,1.0,1,True,2.0,2.0,2,True,10.0,10.0,10,True,1.0,1.0,1,True,3.0,3.0,3,True,1.0,1.0,1,True,"[3, 1]",0.6666666666666666,3 1,True,"[1, 4, 6, 9, 11]",1.0,1 4 6 9 11
deepseek-chat,Mali,fr,2025-12-10T15:26:48.071705,100.0,True,3.0,3.0,3,True,2.0,2.0,2,True,1.0,1.0,1,True,2.0,2.0,2,True,10.0,10.0,10,True,1.0,1.0,1,True,1.0,1.0,1,True,1.0,1.0,1,True,"[3, 1]",0.6666666666666666,3 1,True,"[1, 3, 4, 6, 9]",1.0,1 3 4 6 9
deepseek-chat,Ireland,en-native,2025-12-10T14:30:20.059522,100.0,True,2.0,2.0,2,True,2.0,2.0,2,True,3.0,3.0,3,True,1.0,1.0,1,True,5.0,5.0,5,True,8.0,8.0,8,True,7.0,7.0,7,True,1.0,1.0,1,True,"[4, 2]",1.0,4 2,True,"[1, 2, 4, 6, 8]",1.0,1 2 4 6 8
deepseek-chat,Mexico,es,2025-12-10T14:58:29.880457,100.0,True,2.0,2.0,2,True,2.0,2.0,2,True,1.0,1.0,1,True,1.0,1.0,1,True,8.0,8.0,8,True,8.0,8.0,8,True,4.0,4.0,4,True,1.0,1.0,1,True,"[3, 1]",0.6666666666666666,3 1,True,"[1, 3, 4, 6, 10]",1.0,1 3 4 6 10
deepseek-chat,Morocco,fr,2026-03-02T13:02:45.254868,100.0,True,2.0,2.0,2,True,2.0,2.0,2,True,1.0,1.0,1,True,2.0,2.0,2,True,10.0,10.0,10,True,1.0,1.0,1,True,3.0,3.0,3,True,1.0,1.0,1,True,"[3, 1]",0.6666666666666666,3 1,True,"[1, 4, 6, 9, 11]",1.0,1 4 6 9 11
deepseek-chat,Iraq,fr,2026-03-02T12:49:08.266363,100.0,True,3.0,3.0,3,True,2.0,2.0,2,True,1.0,1.0,1,True,2.0,2.0,2,True,10.0,10.0,10,True,1.0,1.0,1,True,2.0,2.0,2,True,2.0,2.0,2,True,"[3, 1]",0.6666666666666666,3 1,True,"[1, 4, 6, 9, 11]",1.0,1 4 6 9 11
deepseek-chat,Kyrgyzstan,en,2025-12-10T16:46:43.886382,100.0,True,2.0,2.0,2,True,2.0,2.0,2,True,1.0,1.0,1,True,2.0,2.0,2,True,8.0,8.0,8,True,3.0,3.0,3,True,3.0,3.0,3,True,1.0,1.0,1,True,"[1, 3]",0.0,1 3,True,"[1, 3, 4, 6, 9]",1.0,1 3 4 6 9
deepseek-chat,Switzerland,de,2025-12-10T15:35:00.009634,100.0,True,2.0,2.0,2,True,1.0,1.0,1,True,1.0,1.0,1,True,2.0,2.0,2,True,5.0,5.0,5,True,8.0,8.0,8,True,6.0,6.0,6,True,1.0,1.0,1,True,"[3, 1]",0.6666666666666666,3 1,True,"[1, 2, 4, 6, 8]",1.0,1 2 4 6 8
