model,condition,country,language,question_id,value_dimension,modal_response,consensus_count,consistency_rate
anthropic/claude-sonnet-4.5,imitation,Algeria,ar,A008,Traditional vs. Secular-Rational,2,5,1.0
anthropic/claude-sonnet-4.5,imitation,Algeria,ar,A165,Traditional vs. Secular-Rational,2,5,1.0
anthropic/claude-sonnet-4.5,imitation,Algeria,ar,E018,Traditional vs. Secular-Rational,1,5,1.0
anthropic/claude-sonnet-4.5,imitation,Algeria,ar,E025,Traditional vs. Secular-Rational,2,5,1.0
anthropic/claude-sonnet-4.5,imitation,Algeria,ar,F063,Survival vs. Self-Expression,10,5,1.0
anthropic/claude-sonnet-4.5,imitation,Algeria,ar,F118,Survival vs. Self-Expression,1,5,1.0
anthropic/claude-sonnet-4.5,imitation,Algeria,ar,F120,Survival vs. Self-Expression,2,5,1.0
anthropic/claude-sonnet-4.5,imitation,Algeria,ar,G006,Survival vs. Self-Expression,1,5,1.0
anthropic/claude-sonnet-4.5,imitation,Algeria,ar,Y002,Traditional vs. Secular-Rational,3 1,5,1.0
anthropic/claude-sonnet-4.5,imitation,Algeria,ar,Y003,Traditional vs. Secular-Rational,1 4 6 9 11,5,1.0
anthropic/claude-sonnet-4.5,imitation,Algeria,en,A008,Traditional vs. Secular-Rational,2,5,1.0
anthropic/claude-sonnet-4.5,imitation,Algeria,en,A165,Traditional vs. Secular-Rational,2,5,1.0
anthropic/claude-sonnet-4.5,imitation,Algeria,en,E018,Traditional vs. Secular-Rational,1,5,1.0
anthropic/claude-sonnet-4.5,imitation,Algeria,en,E025,Traditional vs. Secular-Rational,2,5,1.0
anthropic/claude-sonnet-4.5,imitation,Algeria,en,F063,Survival vs. Self-Expression,10,5,1.0
anthropic/claude-sonnet-4.5,imitation,Algeria,en,F118,Survival vs. Self-Expression,2,5,1.0
anthropic/claude-sonnet-4.5,imitation,Algeria,en,F120,Survival vs. Self-Expression,2,5,1.0
anthropic/claude-sonnet-4.5,imitation,Algeria,en,G006,Survival vs. Self-Expression,1,5,1.0
anthropic/claude-sonnet-4.5,imitation,Algeria,en,Y002,Traditional vs. Secular-Rational,3 1,5,0.6
anthropic/claude-sonnet-4.5,imitation,Algeria,en,Y003,Traditional vs. Secular-Rational,1 4 6 9 11,5,1.0
anthropic/claude-sonnet-4.5,imitation,Argentina,en,A008,Traditional vs. Secular-Rational,2,5,1.0
anthropic/claude-sonnet-4.5,imitation,Argentina,en,A165,Traditional vs. Secular-Rational,2,5,1.0
anthropic/claude-sonnet-4.5,imitation,Argentina,en,E018,Traditional vs. Secular-Rational,2,5,1.0
anthropic/claude-sonnet-4.5,imitation,Argentina,en,E025,Traditional vs. Secular-Rational,1,5,1.0
anthropic/claude-sonnet-4.5,imitation,Argentina,en,F063,Survival vs. Self-Expression,7,5,1.0
anthropic/claude-sonnet-4.5,imitation,Argentina,en,F118,Survival vs. Self-Expression,7,5,1.0
anthropic/claude-sonnet-4.5,imitation,Argentina,en,F120,Survival vs. Self-Expression,6,5,1.0
anthropic/claude-sonnet-4.5,imitation,Argentina,en,G006,Survival vs. Self-Expression,2,5,1.0
anthropic/claude-sonnet-4.5,imitation,Argentina,en,Y002,Traditional vs. Secular-Rational,2 4,5,1.0
anthropic/claude-sonnet-4.5,imitation,Argentina,en,Y003,Traditional vs. Secular-Rational,1 4 6 8 10,5,1.0
anthropic/claude-sonnet-4.5,imitation,Argentina,es,A008,Traditional vs. Secular-Rational,2,5,1.0
anthropic/claude-sonnet-4.5,imitation,Argentina,es,A165,Traditional vs. Secular-Rational,2,5,1.0
anthropic/claude-sonnet-4.5,imitation,Argentina,es,E018,Traditional vs. Secular-Rational,2,5,1.0
anthropic/claude-sonnet-4.5,imitation,Argentina,es,E025,Traditional vs. Secular-Rational,2,5,1.0
anthropic/claude-sonnet-4.5,imitation,Argentina,es,F063,Survival vs. Self-Expression,7,5,1.0
anthropic/claude-sonnet-4.5,imitation,Argentina,es,F118,Survival vs. Self-Expression,7,5,1.0
anthropic/claude-sonnet-4.5,imitation,Argentina,es,F120,Survival vs. Self-Expression,6,5,1.0
anthropic/claude-sonnet-4.5,imitation,Argentina,es,G006,Survival vs. Self-Expression,2,5,1.0
anthropic/claude-sonnet-4.5,imitation,Argentina,es,Y002,Traditional vs. Secular-Rational,3 2,5,1.0
anthropic/claude-sonnet-4.5,imitation,Argentina,es,Y003,Traditional vs. Secular-Rational,1 4 6 8 10,5,1.0
anthropic/claude-sonnet-4.5,imitation,Australia,en-native,A008,Traditional vs. Secular-Rational,2,5,1.0
anthropic/claude-sonnet-4.5,imitation,Australia,en-native,A165,Traditional vs. Secular-Rational,1,5,1.0
anthropic/claude-sonnet-4.5,imitation,Australia,en-native,E018,Traditional vs. Secular-Rational,2,5,1.0
anthropic/claude-sonnet-4.5,imitation,Australia,en-native,E025,Traditional vs. Secular-Rational,1,5,1.0
anthropic/claude-sonnet-4.5,imitation,Australia,en-native,F063,Survival vs. Self-Expression,4,5,1.0
anthropic/claude-sonnet-4.5,imitation,Australia,en-native,F118,Survival vs. Self-Expression,9,5,1.0
anthropic/claude-sonnet-4.5,imitation,Australia,en-native,F120,Survival vs. Self-Expression,7,5,1.0
anthropic/claude-sonnet-4.5,imitation,Australia,en-native,G006,Survival vs. Self-Expression,2,5,1.0
anthropic/claude-sonnet-4.5,imitation,Australia,en-native,Y002,Traditional vs. Secular-Rational,4 2,5,1.0
anthropic/claude-sonnet-4.5,imitation,Australia,en-native,Y003,Traditional vs. Secular-Rational,2 4 6 8 10,5,1.0
anthropic/claude-sonnet-4.5,imitation,Austria,de,A008,Traditional vs. Secular-Rational,2,5,1.0
anthropic/claude-sonnet-4.5,imitation,Austria,de,A165,Traditional vs. Secular-Rational,2,5,1.0
anthropic/claude-sonnet-4.5,imitation,Austria,de,E018,Traditional vs. Secular-Rational,2,5,1.0
anthropic/claude-sonnet-4.5,imitation,Austria,de,E025,Traditional vs. Secular-Rational,2,5,1.0
anthropic/claude-sonnet-4.5,imitation,Austria,de,F063,Survival vs. Self-Expression,3,5,0.8
anthropic/claude-sonnet-4.5,imitation,Austria,de,F118,Survival vs. Self-Expression,9,5,1.0
anthropic/claude-sonnet-4.5,imitation,Austria,de,F120,Survival vs. Self-Expression,7,5,1.0
anthropic/claude-sonnet-4.5,imitation,Austria,de,G006,Survival vs. Self-Expression,2,5,1.0
anthropic/claude-sonnet-4.5,imitation,Austria,de,Y002,Traditional vs. Secular-Rational,2 4,5,1.0
anthropic/claude-sonnet-4.5,imitation,Austria,de,Y003,Traditional vs. Secular-Rational,2 4 6 8 10,5,1.0
anthropic/claude-sonnet-4.5,imitation,Austria,en,A008,Traditional vs. Secular-Rational,2,5,1.0
anthropic/claude-sonnet-4.5,imitation,Austria,en,A165,Traditional vs. Secular-Rational,2,5,1.0
anthropic/claude-sonnet-4.5,imitation,Austria,en,E018,Traditional vs. Secular-Rational,2,5,1.0
anthropic/claude-sonnet-4.5,imitation,Austria,en,E025,Traditional vs. Secular-Rational,1,5,1.0
