model_name,language,PC1,PC2
claude-3-7-sonnet-20250219,ar,2.7797,-0.5474
claude-sonnet-4.5,ar,0.4842,1.6264
deepseek-chat,ar,1.6937,-0.5301
deepseek-chat-v3.1,ar,2.0038,-0.4207
doubao-1-5-pro-32k-250115,ar,-1.4409,-1.21
gemini-2.5-flash,ar,2.2263,1.2686
gemini-2.5-pro,ar,1.7805,-0.3309
gemini-3-pro-preview,ar,-1.3127,-1.6399
gemma-3-4b-it,ar,-2.3446,-0.4098
gpt-4o,ar,-0.4808,2.3126
gpt-4o-mini,ar,1.458,-0.2858
gpt-5.1,ar,2.6422,2.6596
grok-4.1-fast,ar,2.3343,4.9322
kimi-k2,ar,2.5473,0.1179
llama-3.2-3b-instruct,ar,0.043,1.1086
llama-3.3-70b-instruct,ar,0.9121,0.5256
mistral-medium-3.1,ar,1.2243,-0.6871
mistral-nemo,ar,1.4131,4.9846
phi-3-mini-128k-instruct,ar,0.0761,0.3387
qwen3-max,ar,3.1548,-1.6067
claude-3-7-sonnet-20250219,en,4.3294,0.5355
claude-sonnet-4.5,en,2.9895,2.108
deepseek-chat,en,2.6278,-0.4386
deepseek-chat-v3.1,en,4.4407,-0.6101
doubao-1-5-pro-32k-250115,en,2.8215,-0.9355
gemini-2.5-flash,en,-0.7048,5.2001
gemini-2.5-pro,en,3.1244,0.6858
gemini-3-pro-preview,en,0.4209,1.1832
gemma-3-4b-it,en,1.1977,2.3206
gpt-4o,en,0.8105,1.0541
gpt-4o-mini,en,6.6439,-1.4228
gpt-5.1,en,2.6422,2.6596
grok-4.1-fast,en,5.0249,2.6395
kimi-k2,en,3.8878,0.4057
llama-3.2-3b-instruct,en,0.5,2.4209
llama-3.3-70b-instruct,en,2.1329,1.9151
mistral-medium-3.1,en,0.8138,3.5959
mistral-nemo,en,6.0521,-0.4711
phi-3-mini-128k-instruct,en,2.6053,0.978
qwen3-max,en,0.7599,-0.3662
claude-3-7-sonnet-20250219,es,4.1758,0.2553
claude-sonnet-4.5,es,4.3439,2.1793
deepseek-chat,es,1.4246,0.3837
deepseek-chat-v3.1,es,3.9457,-0.497
doubao-1-5-pro-32k-250115,es,3.9832,1.2584
gemini-2.5-flash,es,2.2919,-0.2541
gemini-2.5-pro,es,1.4375,2.179
gemini-3-pro-preview,es,2.0163,1.4422
gemma-3-4b-it,es,0.5905,2.3297
gpt-4o,es,2.8197,2.8154
gpt-4o-mini,es,4.048,1.4748
gpt-5.1,es,4.0142,2.7021
grok-4.1-fast,es,1.3895,3.673
kimi-k2,es,4.5586,0.2742
llama-3.2-3b-instruct,es,3.5779,1.8052
llama-3.3-70b-instruct,es,1.1532,1.9676
mistral-medium-3.1,es,1.8476,2.6507
mistral-nemo,es,0.6917,4.3689
phi-3-mini-128k-instruct,es,3.1446,1.0728
qwen3-max,es,4.1933,0.2267
claude-3-7-sonnet-20250219,fr,2.7523,0.9778
claude-sonnet-4.5,fr,3.5009,2.1848
deepseek-chat,fr,2.2637,0.6054
deepseek-chat-v3.1,fr,0.672,0.3015
doubao-1-5-pro-32k-250115,fr,3.9832,1.2584
gemini-2.5-flash,fr,4.1282,-0.1136
gemini-2.5-pro,fr,1.8407,1.7095
gemini-3-pro-preview,fr,2.5212,2.2373
gemma-3-4b-it,fr,-0.4067,2.4109
gpt-4o,fr,2.744,1.3167
gpt-4o-mini,fr,3.9063,0.211
gpt-5.1,fr,4.7123,3.6923
grok-4.1-fast,fr,5.4945,1.4782
kimi-k2,fr,4.7026,0.9711
llama-3.2-3b-instruct,fr,2.7786,1.7855
llama-3.3-70b-instruct,fr,2.0098,2.1605
mistral-medium-3.1,fr,3.274,-1.1039
mistral-nemo,fr,3.2977,3.9193
phi-3-mini-128k-instruct,fr,2.8496,1.0999
qwen3-max,fr,0.3152,0.879
claude-3-7-sonnet-20250219,ru,1.9953,0.5168
claude-sonnet-4.5,ru,2.9655,2.855
deepseek-chat,ru,3.7099,0.4849
deepseek-chat-v3.1,ru,1.1581,1.5767
doubao-1-5-pro-32k-250115,ru,3.634,0.3395
gemini-2.5-flash,ru,2.0622,-1.5846
gemini-2.5-pro,ru,1.8407,1.7095
gemini-3-pro-preview,ru,1.0542,1.466
gemma-3-4b-it,ru,-2.9741,-0.0137
gpt-4o,ru,3.2684,0.4453
gpt-4o-mini,ru,4.6845,-1.3178
gpt-5.1,ru,0.9886,2.9886
grok-4.1-fast,ru,1.5817,4.85
kimi-k2,ru,2.9832,1.7068
llama-3.2-3b-instruct,ru,1.3774,1.5053
llama-3.3-70b-instruct,ru,0.83,3.2949
mistral-medium-3.1,ru,2.9459,0.6142
mistral-nemo,ru,0.2016,4.0554
phi-3-mini-128k-instruct,ru,3.1969,0.5484
qwen3-max,ru,5.6256,-1.1138
