model_name,vendor,origin,open_source,size_category,mean_distance,median_distance,std_distance,pc1_bias,pc2_bias,n_countries
gpt-4o,OpenAI,US,False,Large,1.168,1.112,0.647,0.302,-0.096,66
deepseek-chat,DeepSeek,China,True,Large,1.292,1.024,0.798,0.029,-0.068,66
qwen3-max,Alibaba,China,True,Large,1.439,1.351,0.795,-0.39,0.487,66
deepseek-chat-v3.1,DeepSeek,China,True,Large,1.466,1.281,0.956,0.303,-0.115,66
llama-3.3-70b-instruct,Meta,US,True,Large,1.519,1.377,0.873,0.048,0.376,66
doubao-1-5-pro-32k-250115,ByteDance,China,False,Large,1.663,1.472,0.815,-0.279,-0.325,66
claude-sonnet-4.5,Anthropic,US,False,Large,1.677,1.429,1.106,0.435,0.663,66
kimi-k2,Moonshot,China,True,Large,1.737,1.291,1.21,0.787,0.232,66
gemini-2.5-flash,Google,US,False,Large,1.745,1.571,1.016,-0.281,0.456,66
claude-3-7-sonnet-20250219,Anthropic,US,False,Large,1.755,1.405,1.056,0.17,0.808,66
mistral-medium-3.1,Mistral,Europe,False,Large,1.811,1.676,1.058,0.008,0.617,66
gpt-5.1,OpenAI,US,False,Large,1.842,1.345,1.274,0.291,0.647,66
gemini-3-pro-preview,Google,US,False,Large,1.886,1.833,1.084,-0.042,0.452,66
gemini-2.5-pro,Google,US,False,Large,2.147,2.014,1.322,-0.143,1.237,66
gpt-4o-mini,OpenAI,US,False,Small,2.381,1.905,1.415,1.349,0.439,66
gemma-3-4b-it,Google,US,True,Small,2.396,2.529,0.784,-0.197,2.078,66
grok-4.1-fast,xAI,US,False,Large,2.452,2.707,0.952,-1.309,0.77,66
phi-3-mini-128k-instruct,Microsoft,US,True,Small,2.703,2.957,1.043,2.236,1.269,66
mistral-nemo,Mistral,Europe,True,Small,2.991,3.017,0.961,1.096,2.448,66
llama-3.2-3b-instruct,Meta,US,True,Small,3.296,3.58,1.601,2.062,2.426,66
