model,斯拉夫语系,日耳曼语系,汉藏语系,罗曼语系,闪米特语系
claude-3-7-sonnet-20250219,-134.749784891931,-47.81359926185736,61.8258229907825,-10.25857160899555,7.464445284650115
claude-sonnet-4.5,7.565370385142114,-19.487539251341044,-13.612197101406172,-7.546763931570909,14.334547878775187
deepseek-chat,24.749957314053464,-6.777918168407016,22.726637310877845,16.428058632582854,39.00386978321556
deepseek-chat-v3.1,26.628545337078464,-95.9207189743523,-47.74810535814443,12.119200601633882,37.56967348219564
doubao-1-5-pro-32k-250115,-0.6115321823366231,-66.50192598664891,-18.279392570199292,-23.03342250338724,-2.1051981958610484
gemini-2.5-flash,52.563447043720416,-2.213621931429345,37.923307464866056,-35.63250719492133,-4.267063463902806
gemini-2.5-pro,0.2473067754593814,-71.00160280308431,47.45446334425528,11.101866912665306,8.196583092382925
gemini-3-pro-preview,-122.97948137154195,-40.23975729751022,14.56233645957382,-3.004004867538703,-33.285556782969735
gemma-3-4b-it,-30.52837703451313,-2.372875831834591,-19.210787582209246,-1.3110870795704281,12.273184111236592
gpt-4o,15.012573230546147,-17.625805758394158,-28.250380143654812,7.70947236965192,12.008554759625211
gpt-4o-mini,3.761547735397739,-46.75781583466876,17.899365393799606,-2.748029871613361,8.470049826247541
gpt-5.1,37.68706262374649,-22.086171360075816,-0.05949975696942824,-33.531576150018594,-8.0035940641738
grok-4.1-fast,-2.488836684712246,-32.52794622028562,27.694279629177277,2.6147836284780612,1.1103728408033156
kimi-k2,-21.439564866101453,-36.219526487845,28.018743768302517,23.354447334418648,5.395466851910928
llama-3.2-3b-instruct,5.52254284011581,22.089023119835925,34.607253653438526,0.5497693452285194,21.038317258199925
llama-3.3-70b-instruct,14.021169675933635,20.706061203393677,26.09680798439801,29.94285867747633,3.258373425638259
mistral-medium-3.1,-159.42496629811205,21.39405907044207,43.934308527996784,-4.533519012950879,7.2457581190203095
mistral-nemo,-25.34175783880374,5.978258364264948,11.810363373528924,-21.161958046957228,26.34874650285247
phi-3-mini-128k-instruct,35.580056666495366,54.30845001586001,-41.2501610804611,7.578448015521637,44.186652417577704
qwen3-max,46.58074709361037,33.55362830084838,-2.42775495075758,23.154332648914156,28.46217072734754
