model,language,file,round_id,question_id,processed_response,raw_response,is_clean_numeric,legacy_like_extraction,in_range_unique_count,line_start_option_count,option_list_like,multi_in_range,very_likely_wrong,first_number,unique_in_range_numbers
bloom-1b7,en-native,data/llm_interviews/multilingual/interview_raw/bloom-1b7/bloom-1b7_Hong Kong_en-native_20260428_204354_078.json,1,F063,,"Please do not give reasons.

Format: Respond with ONE number",False,False,0,0,False,False,False,,
bloom-1b7,en-native,data/llm_interviews/multilingual/interview_raw/bloom-1b7/bloom-1b7_Hong Kong_en-native_20260428_205921_552.json,1,F063,,"Please do not use any other words or phrases.

Format:",False,False,0,0,False,False,False,,
bloom-1b7,en-native,data/llm_interviews/multilingual/interview_raw/bloom-1b7/bloom-1b7_Hong Kong_en-native_20260428_215247_677.json,1,F063,,"Please do not use any other words or phrases.

Format:",False,False,0,0,False,False,False,,
bloom-1b7,en-native,data/llm_interviews/multilingual/interview_raw/bloom-1b7/bloom-1b7_Hong Kong_en-native_20260428_221724_738.json,1,A008,,"Please do not give reasons.

Format: Respond with ONE number only (e.",False,False,0,0,False,False,False,,
bloom-1b7,en-native,data/llm_interviews/multilingual/interview_raw/bloom-1b7/bloom-1b7_Hong Kong_en-native_20260428_221724_738.json,1,A165,,"Please do not give reasons.

Format: Respond with ONE number only (e.",False,False,0,0,False,False,False,,
bloom-1b7,en-native,data/llm_interviews/multilingual/interview_raw/bloom-1b7/bloom-1b7_Hong Kong_en-native_20260428_221724_738.json,1,E018,,"Do not provide any explanations, confirmations, or other responses.

Format: Respond",False,False,0,0,False,False,False,,
bloom-1b7,en-native,data/llm_interviews/multilingual/interview_raw/bloom-1b7/bloom-1b7_Hong Kong_en-native_20260428_221724_738.json,1,E025,,"Do not use any other words or phrases.

Format: Respond with ONE number only",False,False,0,0,False,False,False,,
bloom-1b7,en-native,data/llm_interviews/multilingual/interview_raw/bloom-1b7/bloom-1b7_Hong Kong_en-native_20260428_221724_738.json,1,F063,,"Please do not give reasons.

Format: Respond with ONE number only (e.",False,False,0,0,False,False,False,,
bloom-1b7,en-native,data/llm_interviews/multilingual/interview_raw/bloom-1b7/bloom-1b7_Hong Kong_en-native_20260428_221724_738.json,1,F118,,"Do NOT use any other language.

Format: Respond with ONE number only (e",False,False,0,0,False,False,False,,
bloom-1b7,en-native,data/llm_interviews/multilingual/interview_raw/bloom-1b7/bloom-1b7_Hong Kong_en-native_20260428_221724_738.json,1,F120,,"Please do not use any of the following words:

""Justifiable"",",False,False,0,0,False,False,False,,
bloom-1b7,en-native,data/llm_interviews/multilingual/interview_raw/bloom-1b7/bloom-1b7_Hong Kong_en-native_20260428_221724_738.json,1,G006,,"Please do not use any other language.

Format: Please provide ONE number only (",False,False,0,0,False,False,False,,
bloom-1b7,en-native,data/llm_interviews/multilingual/interview_raw/bloom-1b7/bloom-1b7_Hong Kong_en-native_20260428_221724_738.json,1,Y002,,"Please do not use any of the following abbreviations:

A:

I think the",False,False,0,0,False,False,False,,
bloom-1b7,en-native,data/llm_interviews/multilingual/interview_raw/bloom-1b7/bloom-1b7_Hong Kong_en-native_20260428_221724_738.json,1,Y003,,"Do not use any of the following abbreviations:

A:

I think the following",False,False,0,0,False,False,False,,
bloom-1b7,zh-hk,data/llm_interviews/multilingual/interview_raw/bloom-1b7/bloom-1b7_Hong Kong_zh-hk_20260428_204402_214.json,1,F063,,請注意：您可能無法在第一次嘗試中獲得,False,False,0,0,False,False,False,,
bloom-1b7,zh-hk,data/llm_interviews/multilingual/interview_raw/bloom-1b7/bloom-1b7_Hong Kong_zh-hk_20260428_210211_557.json,1,F063,,請注意：您正在扮演來自Hong Kong的典型,False,False,0,0,False,False,False,,
bloom-1b7,zh-hk,data/llm_interviews/multilingual/interview_raw/bloom-1b7/bloom-1b7_Hong Kong_zh-hk_20260428_215438_510.json,1,F063,,請注意：您正在扮演來自Hong Kong的典型,False,False,0,0,False,False,False,,
bloom-1b7,zh-hk,data/llm_interviews/multilingual/interview_raw/bloom-1b7/bloom-1b7_Hong Kong_zh-hk_20260428_231541_486.json,1,A008,,"請記住：您正在扮演來自Hong Kong的典型公民。
請",False,False,0,0,False,False,False,,
bloom-1b7,zh-hk,data/llm_interviews/multilingual/interview_raw/bloom-1b7/bloom-1b7_Hong Kong_zh-hk_20260428_231541_486.json,1,A165,,"請勿使用「好的」或「我明白」的字眼。

請勿",False,False,0,0,False,False,False,,
bloom-1b7,zh-hk,data/llm_interviews/multilingual/interview_raw/bloom-1b7/bloom-1b7_Hong Kong_zh-hk_20260428_231541_486.json,1,E018,,請注意：您必須在提交後 24 小時內完成提交。,False,False,0,0,False,False,False,24.0,
