model_name,language,condition,PC1,PC2,data_source
anthropic/claude-sonnet-4.5,ar,baseline,0.4842,1.6264,LLM
anthropic/claude-sonnet-4.5,en,baseline,2.9895,2.108,LLM
anthropic/claude-sonnet-4.5,es,baseline,4.3439,2.1793,LLM
anthropic/claude-sonnet-4.5,fr,baseline,3.5009,2.1848,LLM
anthropic/claude-sonnet-4.5,ru,baseline,2.9655,2.855,LLM
anthropic/claude-sonnet-4.5,zh-cn,baseline,1.7952,1.5987,LLM
claude-3-7-sonnet-20250219,ar,baseline,2.7797,-0.5474,LLM
claude-3-7-sonnet-20250219,en,baseline,4.3294,0.5355,LLM
claude-3-7-sonnet-20250219,es,baseline,4.1758,0.2553,LLM
claude-3-7-sonnet-20250219,fr,baseline,2.7523,0.9778,LLM
claude-3-7-sonnet-20250219,ru,baseline,1.9953,0.5168,LLM
claude-3-7-sonnet-20250219,zh-cn,baseline,2.9655,2.855,LLM
deepseek-chat,zh-cn,baseline,4.9478,-0.2357,LLM
deepseek-chat,ru,baseline,3.7099,0.4849,LLM
deepseek-chat,fr,baseline,2.2637,0.6054,LLM
deepseek-chat,en,baseline,2.6278,-0.4386,LLM
deepseek-chat,ar,baseline,1.6937,-0.5301,LLM
deepseek-chat,es,baseline,1.4246,0.3837,LLM
deepseek/deepseek-chat-v3.1,zh-cn,baseline,3.6881,-0.6923,LLM
deepseek/deepseek-chat-v3.1,ar,baseline,2.0038,-0.4207,LLM
deepseek/deepseek-chat-v3.1,en,baseline,4.4407,-0.6101,LLM
deepseek/deepseek-chat-v3.1,es,baseline,3.9457,-0.497,LLM
deepseek/deepseek-chat-v3.1,fr,baseline,0.672,0.3015,LLM
deepseek/deepseek-chat-v3.1,ru,baseline,1.1581,1.5767,LLM
doubao-1-5-pro-32k-250115,ar,baseline,-1.4409,-1.21,LLM
doubao-1-5-pro-32k-250115,en,baseline,2.8215,-0.9355,LLM
doubao-1-5-pro-32k-250115,es,baseline,3.9832,1.2584,LLM
doubao-1-5-pro-32k-250115,fr,baseline,3.9832,1.2584,LLM
doubao-1-5-pro-32k-250115,ru,baseline,3.634,0.3395,LLM
doubao-1-5-pro-32k-250115,zh-cn,baseline,2.8588,0.1971,LLM
google/gemini-2.5-flash,zh-cn,baseline,4.7691,-1.3068,LLM
google/gemini-2.5-flash,fr,baseline,4.1282,-0.1136,LLM
google/gemini-2.5-flash,ru,baseline,2.0622,-1.5846,LLM
google/gemini-2.5-flash,en,baseline,-0.7048,5.2001,LLM
google/gemini-2.5-flash,ar,baseline,2.2263,1.2686,LLM
google/gemini-2.5-flash,es,baseline,2.2919,-0.2541,LLM
google/gemini-2.5-pro,ar,baseline,1.7805,-0.3309,LLM
google/gemini-2.5-pro,en,baseline,3.1244,0.6858,LLM
google/gemini-2.5-pro,es,baseline,1.4375,2.179,LLM
google/gemini-2.5-pro,fr,baseline,1.8407,1.7095,LLM
