model,country,cultural_region,roleplay,A008,E018,F063,F118,F120,G006,E025,A165,PC1,PC2
google/gemini-2.0-flash-001,Belgium,AI Roleplay,True,2.0,2.0,6.0,8.0,4.0,2.0,2.0,2.0,1.1223944621494393,-0.15183196553076506
google/gemini-2.0-flash-001,Czechia,AI Roleplay,True,2.0,2.0,4.0,4.0,3.0,2.0,2.0,2.0,0.11878913334569145,-0.2534907895181781
google/gemini-2.0-flash-001,France,AI Roleplay,True,2.0,2.0,4.0,7.0,4.0,2.0,2.0,2.0,1.2830525364526755,-0.38117912356279954
google/gemini-2.0-flash-001,United Kingdom of Great Britain and Northern Ireland (the),AI Roleplay,True,2.0,2.0,4.0,7.0,5.0,2.0,2.0,2.0,1.7141449766621142,-0.3077006077917142
anthropic/claude-3.7-sonnet,Taiwan (Province of China),AI Roleplay,True,2.0,2.0,5.0,5.0,5.0,2.0,2.0,2.0,1.0228401370958746,-0.025387987262607922
anthropic/claude-3.7-sonnet,Slovenia,AI Roleplay,True,2.0,2.0,7.0,5.0,4.0,2.0,2.0,2.0,0.1866993016173512,0.19753627160357684
deepseek/deepseek-chat-v3-0324,Canada,AI Roleplay,True,2.0,3.0,4.0,9.0,7.0,2.0,2.0,2.0,4.542198434434268,2.3622437555310962
deepseek/deepseek-chat-v3-0324,Czechia,AI Roleplay,True,2.0,2.0,5.0,6.0,5.0,2.0,2.0,2.0,1.2672304580617233,-0.09244360386784353
deepseek/deepseek-chat-v3-0324,Estonia,AI Roleplay,True,2.0,2.0,5.0,5.0,5.0,2.0,2.0,2.0,1.0228401370958746,-0.025387987262607922
deepseek/deepseek-chat-v3-0324,France,AI Roleplay,True,2.0,3.0,5.0,8.0,7.0,2.0,2.0,2.0,4.095283915833877,2.5775007594549666
deepseek/deepseek-chat-v3-0324,Hungary,AI Roleplay,True,2.0,2.0,7.0,5.0,4.0,2.0,2.0,2.0,0.1866993016173512,0.19753627160357684
deepseek/deepseek-chat-v3-0324,New Zealand,AI Roleplay,True,2.0,3.0,4.0,9.0,7.0,2.0,2.0,2.0,4.542198434434268,2.3622437555310962
deepseek/deepseek-chat-v3-0324,Slovakia,AI Roleplay,True,2.0,2.0,7.0,5.0,4.0,2.0,2.0,2.0,0.1866993016173512,0.19753627160357684
deepseek/deepseek-chat-v3-0324,Slovenia,AI Roleplay,True,2.0,2.0,7.0,6.0,4.0,2.0,2.0,2.0,0.4310896225831998,0.13048065499834124
deepseek/deepseek-chat-v3-0324,South Africa,AI Roleplay,True,2.0,2.0,7.0,8.0,6.0,2.0,2.0,2.0,1.782055144933774,0.1433264533300408
deepseek/deepseek-chat-v3-0324,United Kingdom of Great Britain and Northern Ireland (the),AI Roleplay,True,2.0,2.0,5.0,8.0,6.0,2.0,2.0,2.0,2.1871035402028594,-0.15307632130722934
qwen/qwq-32b,Czechia,AI Roleplay,True,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,-0.35416943019505326,-0.408115076002663
qwen/qwq-32b,France,AI Roleplay,True,2.0,3.0,3.0,7.0,7.0,2.0,2.0,2.0,4.2559419901371145,2.3481536014229323
qwen/qwq-32b,Portugal,AI Roleplay,True,2.0,3.0,7.0,6.0,2.0,2.0,2.0,2.0,1.0459926775859025,2.6406221884472814
qwen/qwq-32b,South Africa,AI Roleplay,True,2.0,3.0,5.0,7.0,8.0,2.0,2.0,2.0,4.281986035077468,2.7180348918312873
mistralai/mistral-nemo:free,Chile,AI Roleplay,True,2.0,2.0,7.0,4.0,5.0,2.0,2.0,2.0,0.3734014208609413,0.3380704039798978
mistralai/mistral-nemo:free,Canada,AI Roleplay,True,2.0,2.0,2.0,10.0,5.0,2.0,2.0,2.0,2.8523643348287453,-0.8052702322446911
mistralai/mistral-nemo:free,Colombia,AI Roleplay,True,2.0,2.0,8.0,5.0,2.0,2.0,2.0,2.0,-0.8780097764360685,0.19878062738004115
mistralai/mistral-nemo:free,Croatia,AI Roleplay,True,2.0,2.0,8.0,4.0,2.0,2.0,2.0,2.0,-1.122400097401917,0.2658362439852768
mistralai/mistral-nemo:free,Cyprus,AI Roleplay,True,2.0,2.0,8.0,2.0,4.0,2.0,2.0,2.0,-0.7489958589147367,0.5469045087379187
mistralai/mistral-nemo:free,Czechia,AI Roleplay,True,2.0,2.0,5.0,4.0,4.0,2.0,2.0,2.0,0.34735737592058763,-0.03181088642845768
mistralai/mistral-nemo:free,Ecuador,AI Roleplay,True,2.0,2.0,7.0,4.0,2.0,2.0,2.0,2.0,-0.9198758997673746,0.1176348566666417
mistralai/mistral-nemo,Australia,AI Roleplay,True,2.0,2.0,2.0,8.0,5.0,2.0,2.0,2.0,2.363583692897048,-0.6711589990342198
mistralai/mistral-nemo,Andorra,AI Roleplay,True,2.0,2.0,8.0,6.0,2.0,2.0,2.0,2.0,-0.63361945547022,0.13172501077480553
mistralai/mistral-nemo,Bangladesh,AI Roleplay,True,2.0,2.0,10.0,2.0,2.0,2.0,2.0,2.0,-2.016229134602699,0.696350251833018
mistralai/mistral-nemo,Austria,AI Roleplay,True,2.0,2.0,8.0,4.0,3.0,2.0,2.0,2.0,-0.6913076571924784,0.33931475975636216
mistralai/mistral-nemo,Argentina,AI Roleplay,True,2.0,2.0,7.0,8.0,5.0,2.0,2.0,2.0,1.3509627047243353,0.0698479375589554
mistralai/mistral-nemo,Algeria,AI Roleplay,True,2.0,2.0,10.0,2.0,2.0,2.0,2.0,2.0,-2.016229134602699,0.696350251833018
mistralai/mistral-nemo,Azerbaijan,AI Roleplay,True,2.0,2.0,9.0,3.0,2.0,2.0,2.0,2.0,-1.5693146160023081,0.4810932479091475
mistralai/mistral-nemo,Albania,AI Roleplay,True,2.0,2.0,10.0,2.0,2.0,2.0,2.0,2.0,-2.016229134602699,0.696350251833018
mistralai/mistral-nemo,Belgium,AI Roleplay,True,2.0,2.0,4.0,5.0,5.0,2.0,2.0,2.0,1.2253643347304173,-0.173589374581243
mistralai/mistral-nemo,Bosnia and Herzegovina,AI Roleplay,True,2.0,2.0,9.0,4.0,3.0,2.0,2.0,2.0,-0.893831854827021,0.48751614707499724
mistralai/mistral-nemo,Bulgaria,AI Roleplay,True,2.0,2.0,8.0,4.0,4.0,2.0,3.0,2.0,-0.7369341282044521,-1.2414223733682888
mistralai/mistral-nemo,Bolivia (Plurinational State of),AI Roleplay,True,2.0,3.0,8.0,4.0,4.0,2.0,2.0,2.0,1.2168727184385404,3.0698918405185585
mistralai/mistral-nemo,Myanmar,AI Roleplay,True,2.0,2.0,8.0,2.0,2.0,2.0,2.0,2.0,-1.6111807393336142,0.39994747719574797
mistralai/mistral-nemo,Belarus,AI Roleplay,True,2.0,2.0,8.0,4.0,3.0,2.0,3.0,2.0,-1.1680265684138909,-1.314900889139374
mistralai/mistral-nemo,Canada,AI Roleplay,True,2.0,2.0,2.0,8.0,4.0,2.0,2.0,2.0,1.932491252687609,-0.7446375148053053
mistralai/mistral-nemo,Czechia,AI Roleplay,True,2.0,2.0,5.0,4.0,4.0,2.0,2.0,2.0,0.34735737592058763,-0.03181088642845768
mistralai/mistral-nemo,Croatia,AI Roleplay,True,2.0,2.0,7.0,4.0,4.0,2.0,2.0,2.0,-0.057691019348497304,0.2645918882088124
mistralai/mistral-nemo,Cyprus,AI Roleplay,True,2.0,2.0,4.0,4.0,3.0,2.0,3.0,2.0,-0.35792977787572094,-1.9077064384139142
