model,condition,country,language,total_questions,valid_responses,invalid_responses,success_rate,mean_consistency_rate
anthropic/claude-sonnet-4.5,imitation,Algeria,ar,10,10,0,1.0,1.0
anthropic/claude-sonnet-4.5,imitation,Algeria,en,10,10,0,1.0,0.96
anthropic/claude-sonnet-4.5,imitation,Argentina,en,10,10,0,1.0,1.0
anthropic/claude-sonnet-4.5,imitation,Argentina,es,10,10,0,1.0,1.0
anthropic/claude-sonnet-4.5,imitation,Australia,en-native,10,10,0,1.0,1.0
anthropic/claude-sonnet-4.5,imitation,Austria,de,10,10,0,1.0,0.98
anthropic/claude-sonnet-4.5,imitation,Austria,en,10,10,0,1.0,1.0
anthropic/claude-sonnet-4.5,imitation,Belarus,en,10,10,0,1.0,1.0
anthropic/claude-sonnet-4.5,imitation,Belarus,ru,10,10,0,1.0,1.0
anthropic/claude-sonnet-4.5,imitation,Belgium,de,10,10,0,1.0,0.98
anthropic/claude-sonnet-4.5,imitation,Belgium,en,10,10,0,1.0,0.96
anthropic/claude-sonnet-4.5,imitation,Belgium,fr,10,8,2,0.8,0.8
anthropic/claude-sonnet-4.5,imitation,Bolivia,en,10,10,0,1.0,1.0
anthropic/claude-sonnet-4.5,imitation,Bolivia,es,10,10,0,1.0,1.0
anthropic/claude-sonnet-4.5,imitation,Brazil,en,10,10,0,1.0,1.0
anthropic/claude-sonnet-4.5,imitation,Brazil,pt,10,10,0,1.0,0.96
anthropic/claude-sonnet-4.5,imitation,Burkina Faso,en,10,10,0,1.0,0.98
anthropic/claude-sonnet-4.5,imitation,Burkina Faso,fr,10,9,1,0.9,0.9
anthropic/claude-sonnet-4.5,imitation,Canada,en-native,10,10,0,1.0,1.0
anthropic/claude-sonnet-4.5,imitation,Canada,fr,10,9,1,0.9,0.9
anthropic/claude-sonnet-4.5,imitation,Chile,en,10,10,0,1.0,0.98
anthropic/claude-sonnet-4.5,imitation,Chile,es,10,10,0,1.0,0.98
anthropic/claude-sonnet-4.5,imitation,China,en,10,10,0,1.0,0.94
anthropic/claude-sonnet-4.5,imitation,China,zh-cn,10,10,0,1.0,1.0
anthropic/claude-sonnet-4.5,imitation,Colombia,en,10,10,0,1.0,1.0
anthropic/claude-sonnet-4.5,imitation,Colombia,es,10,10,0,1.0,1.0
anthropic/claude-sonnet-4.5,imitation,Ecuador,en,10,10,0,1.0,0.98
anthropic/claude-sonnet-4.5,imitation,Ecuador,es,10,10,0,1.0,0.98
anthropic/claude-sonnet-4.5,imitation,Egypt,ar,10,10,0,1.0,1.0
anthropic/claude-sonnet-4.5,imitation,Egypt,en,10,10,0,1.0,1.0
anthropic/claude-sonnet-4.5,imitation,France,en,10,10,0,1.0,1.0
anthropic/claude-sonnet-4.5,imitation,France,fr,10,10,0,1.0,0.94
anthropic/claude-sonnet-4.5,imitation,Germany,de,10,10,0,1.0,1.0
anthropic/claude-sonnet-4.5,imitation,Germany,en,10,10,0,1.0,0.96
anthropic/claude-sonnet-4.5,imitation,Ghana,en-native,10,10,0,1.0,1.0
