model,language,total,clean_numeric,legacy_like,option_list_like,very_likely_wrong,clean_rate,legacy_like_rate,option_list_like_rate,very_likely_wrong_rate
polylm-1.7b,zh-hk,3,0,2,0,0,0.0,0.6666666666666666,0.0,0.0
doubao-1-5-pro-32k-250115,zh-hk,50,45,2,0,0,0.9,0.04,0.0,0.0
doubao-1-5-pro-32k-250115,zh-cn,50,47,1,0,0,0.94,0.02,0.0,0.0
bloom-1b7,en-native,13,0,0,0,0,0.0,0.0,0.0,0.0
bloom-1b7,zh-hk,13,0,0,0,0,0.0,0.0,0.0,0.0
claude-3-7-sonnet-20250219,en-native,50,50,0,0,0,1.0,0.0,0.0,0.0
claude-3-7-sonnet-20250219,zh-cn,50,50,0,0,0,1.0,0.0,0.0,0.0
claude-3-7-sonnet-20250219,zh-hk,50,50,0,0,0,1.0,0.0,0.0,0.0
claude-sonnet-4.5,en-native,50,50,0,0,0,1.0,0.0,0.0,0.0
claude-sonnet-4.5,zh-cn,50,50,0,0,0,1.0,0.0,0.0,0.0
claude-sonnet-4.5,zh-hk,50,50,0,0,0,1.0,0.0,0.0,0.0
deepseek-chat,en-native,50,50,0,0,0,1.0,0.0,0.0,0.0
deepseek-chat,zh-cn,50,50,0,0,0,1.0,0.0,0.0,0.0
deepseek-chat,zh-hk,50,50,0,0,0,1.0,0.0,0.0,0.0
deepseek-chat-v3.1,en-native,50,50,0,0,0,1.0,0.0,0.0,0.0
deepseek-chat-v3.1,zh-cn,50,50,0,0,0,1.0,0.0,0.0,0.0
deepseek-chat-v3.1,zh-hk,50,50,0,0,0,1.0,0.0,0.0,0.0
doubao-1-5-pro-32k-250115,en-native,50,50,0,0,0,1.0,0.0,0.0,0.0
gemini-2.5-flash,en-native,50,50,0,0,0,1.0,0.0,0.0,0.0
gemini-2.5-flash,zh-cn,50,50,0,0,0,1.0,0.0,0.0,0.0
gemini-2.5-flash,zh-hk,50,50,0,0,0,1.0,0.0,0.0,0.0
gemini-2.5-pro,en-native,50,50,0,0,0,1.0,0.0,0.0,0.0
gemini-2.5-pro,zh-cn,50,50,0,0,0,1.0,0.0,0.0,0.0
gemini-2.5-pro,zh-hk,50,50,0,0,0,1.0,0.0,0.0,0.0
gemini-3-pro-preview,en-native,50,50,0,0,0,1.0,0.0,0.0,0.0
gemini-3-pro-preview,zh-cn,50,50,0,0,0,1.0,0.0,0.0,0.0
gemini-3-pro-preview,zh-hk,50,50,0,0,0,1.0,0.0,0.0,0.0
gemma-3-4b-it,en-native,50,50,0,0,0,1.0,0.0,0.0,0.0
