model,condition,country,language,total_questions,valid_responses,invalid_responses,success_rate,mean_consistency_rate
anthropic/claude-sonnet-4.5,baseline,,ar,10,8,2,0.8,0.8
anthropic/claude-sonnet-4.5,baseline,,en,10,10,0,1.0,0.96
anthropic/claude-sonnet-4.5,baseline,,es,10,10,0,1.0,1.0
anthropic/claude-sonnet-4.5,baseline,,fr,10,10,0,1.0,1.0
anthropic/claude-sonnet-4.5,baseline,,ru,10,10,0,1.0,1.0
anthropic/claude-sonnet-4.5,baseline,,zh-cn,10,10,0,1.0,0.96
claude-3-7-sonnet-20250219,baseline,,ar,10,10,0,1.0,1.0
claude-3-7-sonnet-20250219,baseline,,en,10,10,0,1.0,0.98
claude-3-7-sonnet-20250219,baseline,,es,10,10,0,1.0,0.98
claude-3-7-sonnet-20250219,baseline,,fr,10,10,0,1.0,1.0
claude-3-7-sonnet-20250219,baseline,,ru,10,10,0,1.0,0.98
claude-3-7-sonnet-20250219,baseline,,zh-cn,10,10,0,1.0,0.94
deepseek-chat,baseline,,ar,10,10,0,1.0,0.82
deepseek-chat,baseline,,en,10,10,0,1.0,0.72
deepseek-chat,baseline,,es,10,10,0,1.0,0.84
deepseek-chat,baseline,,fr,10,10,0,1.0,0.76
deepseek-chat,baseline,,ru,10,10,0,1.0,0.9
deepseek-chat,baseline,,zh-cn,10,10,0,1.0,0.88
deepseek/deepseek-chat-v3.1,baseline,,ar,10,10,0,1.0,0.92
deepseek/deepseek-chat-v3.1,baseline,,en,10,10,0,1.0,0.92
deepseek/deepseek-chat-v3.1,baseline,,es,10,10,0,1.0,0.82
deepseek/deepseek-chat-v3.1,baseline,,fr,10,10,0,1.0,0.76
deepseek/deepseek-chat-v3.1,baseline,,ru,10,10,0,1.0,0.82
deepseek/deepseek-chat-v3.1,baseline,,zh-cn,10,10,0,1.0,0.94
doubao-1-5-pro-32k-250115,baseline,,ar,10,10,0,1.0,0.92
doubao-1-5-pro-32k-250115,baseline,,en,10,10,0,1.0,0.94
doubao-1-5-pro-32k-250115,baseline,,es,10,10,0,1.0,0.92
doubao-1-5-pro-32k-250115,baseline,,fr,10,10,0,1.0,1.0
doubao-1-5-pro-32k-250115,baseline,,ru,10,10,0,1.0,0.94
doubao-1-5-pro-32k-250115,baseline,,zh-cn,10,10,0,1.0,0.88
google/gemini-2.5-flash,baseline,,ar,10,10,0,1.0,0.98
google/gemini-2.5-flash,baseline,,en,10,10,0,1.0,0.98
google/gemini-2.5-flash,baseline,,es,10,10,0,1.0,1.0
google/gemini-2.5-flash,baseline,,fr,10,10,0,1.0,0.98
google/gemini-2.5-flash,baseline,,ru,10,10,0,1.0,0.98
google/gemini-2.5-flash,baseline,,zh-cn,10,10,0,1.0,0.98
google/gemini-2.5-pro,baseline,,ar,10,10,0,1.0,0.88
google/gemini-2.5-pro,baseline,,en,10,10,0,1.0,0.82
google/gemini-2.5-pro,baseline,,es,10,10,0,1.0,0.86
google/gemini-2.5-pro,baseline,,fr,10,10,0,1.0,0.98
google/gemini-2.5-pro,baseline,,ru,10,10,0,1.0,0.86
google/gemini-2.5-pro,baseline,,zh-cn,10,10,0,1.0,0.92
