model,model_country,family,n_pairs,native_mean,english_mean,english_advantage
claude-3-7-sonnet-20250219,美国,闪米特语系,12,1.2555874315595688,1.161864794729861,7.464445284650115
claude-3-7-sonnet-20250219,美国,斯拉夫语系,4,0.711473823171084,1.6701832694565173,-134.749784891931
claude-3-7-sonnet-20250219,美国,汉藏语系,3,1.845130986610853,0.7043635688807485,61.8258229907825
claude-3-7-sonnet-20250219,美国,罗曼语系,24,1.9506582422646634,2.150767914894158,-10.25857160899555
claude-3-7-sonnet-20250219,美国,日耳曼语系,5,2.1054480440339747,3.1121385344749934,-47.81359926185736
claude-sonnet-4.5,美国,闪米特语系,12,1.239163819245557,1.0615352882793434,14.334547878775187
claude-sonnet-4.5,美国,斯拉夫语系,4,0.7968773743559658,0.7365906494705415,7.565370385142114
claude-sonnet-4.5,美国,汉藏语系,3,1.3203757399174052,1.5001078881141126,-13.612197101406172
claude-sonnet-4.5,美国,罗曼语系,24,2.1163374110459006,2.276052399453054,-7.546763931570909
claude-sonnet-4.5,美国,日耳曼语系,5,2.497538805646531,2.984247660714373,-19.487539251341044
deepseek-chat,中国,闪米特语系,12,1.6157871824254124,0.9855676538183169,39.00386978321556
deepseek-chat,中国,斯拉夫语系,4,1.0910739429321241,0.8210336077916633,24.749957314053464
deepseek-chat,中国,汉藏语系,3,1.5442927359783774,1.1933269268543392,22.726637310877845
deepseek-chat,中国,罗曼语系,24,1.7000641266039513,1.4207765950939466,16.428058632582854
deepseek-chat,中国,日耳曼语系,5,2.070180062541893,2.21049517311966,-6.777918168407016
deepseek-chat-v3.1,中国,闪米特语系,12,1.6756915700617816,1.0461397186208927,37.56967348219564
deepseek-chat-v3.1,中国,斯拉夫语系,4,1.2764995646642832,0.9365862993600453,26.628545337078464
deepseek-chat-v3.1,中国,汉藏语系,3,0.8645645010389509,1.2773776698841448,-47.74810535814443
deepseek-chat-v3.1,中国,罗曼语系,24,1.819784890962809,1.5992415095088017,12.119200601633882
deepseek-chat-v3.1,中国,日耳曼语系,5,1.5193100132690858,2.97664310144612,-95.9207189743523
doubao-1-5-pro-32k-250115,中国,闪米特语系,12,1.59064134755347,1.6241275005047855,-2.1051981958610484
doubao-1-5-pro-32k-250115,中国,斯拉夫语系,4,1.3537106975181774,1.3619890740892346,-0.6115321823366231
doubao-1-5-pro-32k-250115,中国,汉藏语系,3,1.5412755301606555,1.8230113349071422,-18.279392570199292
doubao-1-5-pro-32k-250115,中国,罗曼语系,24,1.4579997238400644,1.7938269603303656,-23.03342250338724
doubao-1-5-pro-32k-250115,中国,日耳曼语系,5,1.229560777977268,2.047242376508575,-66.50192598664891
gemini-2.5-flash,美国,闪米特语系,12,1.755970653695227,1.8308990358959114,-4.267063463902806
gemini-2.5-flash,美国,斯拉夫语系,4,1.4140150095008945,0.6707599787916337,52.563447043720416
gemini-2.5-flash,美国,汉藏语系,3,1.5079885382853349,0.936109408376448,37.923307464866056
gemini-2.5-flash,美国,罗曼语系,24,1.5149975117986962,2.054829109193246,-35.63250719492133
gemini-2.5-flash,美国,日耳曼语系,5,1.9680699739594274,2.011635602528869,-2.213621931429345
gemini-2.5-pro,美国,闪米特语系,12,2.1006266490118746,1.9284470402648772,8.196583092382925
gemini-2.5-pro,美国,斯拉夫语系,4,0.9739260232095766,0.9715174381662172,0.2473067754593814
gemini-2.5-pro,美国,汉藏语系,3,2.0355992089358304,1.0696165284954262,47.45446334425528
gemini-2.5-pro,美国,罗曼语系,24,2.771511751775117,2.4638222056241648,11.101866912665306
gemini-2.5-pro,美国,日耳曼语系,5,1.8456759104079967,3.156135389348093,-71.00160280308431
gemini-3-pro-preview,美国,闪米特语系,12,1.1843623721409087,1.5785839820359981,-33.285556782969735
gemini-3-pro-preview,美国,斯拉夫语系,4,0.5296930004121329,1.1811067051803334,-122.97948137154195
gemini-3-pro-preview,美国,汉藏语系,3,2.4698508291650545,2.1101828413724655,14.56233645957382
gemini-3-pro-preview,美国,罗曼语系,24,2.0034315738315733,2.063614755827281,-3.004004867538703
gemini-3-pro-preview,美国,日耳曼语系,5,2.2613302743332566,3.171284088420081,-40.23975729751022
gemma-3-4b-it,美国,闪米特语系,12,2.9965764363706726,2.6288010933009676,12.273184111236592
gemma-3-4b-it,美国,斯拉夫语系,4,1.6676011923415206,2.1766927717715765,-30.52837703451313
gemma-3-4b-it,美国,汉藏语系,3,1.108559895706363,1.3215229824920727,-19.210787582209246
gemma-3-4b-it,美国,罗曼语系,24,2.5315304308554185,2.5647209992497575,-1.3110870795704281
gemma-3-4b-it,美国,日耳曼语系,5,2.0531988166773423,2.1019186751777927,-2.372875831834591
gpt-4o,美国,闪米特语系,12,1.0405508798234007,0.9155957576180457,12.008554759625211
gpt-4o,美国,斯拉夫语系,4,0.7254889441501907,0.6165743851301273,15.012573230546147
gpt-4o,美国,汉藏语系,3,0.9441293424442984,1.2108494707326012,-28.250380143654812
gpt-4o,美国,罗曼语系,24,1.5064033365468925,1.3902675875402952,7.70947236965192
gpt-4o,美国,日耳曼语系,5,1.6171176619038898,1.9021476798757546,-17.625805758394158
gpt-4o-mini,美国,闪米特语系,12,1.5216905970272796,1.3928026452577453,8.470049826247541
gpt-4o-mini,美国,斯拉夫语系,4,1.3335858605012856,1.283422391766015,3.761547735397739
gpt-4o-mini,美国,汉藏语系,3,2.337163742850656,1.918826264666414,17.899365393799606
gpt-4o-mini,美国,罗曼语系,24,2.985570193253576,3.067614554002169,-2.748029871613361
gpt-4o-mini,美国,日耳曼语系,5,2.22692231650297,3.268182552034568,-46.75781583466876
gpt-5.1,美国,闪米特语系,12,1.1719699008939337,1.2657696143157842,-8.0035940641738
gpt-5.1,美国,斯拉夫语系,4,1.189722486112255,0.7413510277223359,37.68706262374649
gpt-5.1,美国,汉藏语系,3,1.747915057550644,1.7489550627619186,-0.05949975696942824
