year,country_code,weight,model_name,data_source,A008,A165,E018,E025,F063,F118,F120,G006,Y002,Y003,nan_count
2025,Tajikistan,1.0,google/gemini-2.0-flash-001,llm_roleplay,2,2,1,2,9,2,3,1,1.0,-1.0,0
2025,Brazil,1.0,google/gemini-2.0-flash-001,llm_roleplay,2,2,2,2,8,7,4,2,1.0,1.0,0
2025,Kyrgyzstan,1.0,google/gemini-2.0-flash-001,llm_roleplay,2,2,1,2,7,2,4,2,1.0,1.0,0
2025,Egypt,1.0,google/gemini-2.0-flash-001,llm_roleplay,2,2,1,3,10,1,2,1,1.0,-1.0,0
2025,Germany,1.0,google/gemini-2.0-flash-001,llm_roleplay,2,2,2,2,3,8,6,2,2.0,1.0,0
2025,France,1.0,google/gemini-2.0-flash-001,llm_roleplay,2,2,3,2,3,8,7,2,2.0,2.0,0
2025,India,1.0,google/gemini-2.0-flash-001,llm_roleplay,2,2,1,2,10,4,4,1,1.0,-1.0,0
2025,Kazakhstan,1.0,google/gemini-2.0-flash-001,llm_roleplay,2,2,1,2,6,3,4,2,1.0,1.0,0
2025,Macao,1.0,google/gemini-2.0-flash-001,llm_roleplay,2,2,1,2,4,5,4,2,1.0,,1
2025,Taiwan,1.0,google/gemini-2.0-flash-001,llm_roleplay,2,2,1,2,4,7,6,2,1.0,,1
2025,Ukraine,1.0,google/gemini-2.0-flash-001,llm_roleplay,2,2,2,2,7,4,4,1,1.0,1.0,0
2025,Spain,1.0,google/gemini-2.0-flash-001,llm_roleplay,2,2,2,2,6,8,6,2,1.0,1.0,0
2025,Peru,1.0,google/gemini-2.0-flash-001,llm_roleplay,2,2,1,2,9,4,3,2,1.0,1.0,0
2025,Colombia,1.0,google/gemini-2.0-flash-001,llm_roleplay,2,2,1,2,9,6,4,2,1.0,0.0,0
2025,Russian Federation,1.0,google/gemini-2.0-flash-001,llm_roleplay,2,2,1,3,6,3,4,2,1.0,,1
2025,Hong Kong,1.0,google/gemini-2.0-flash-001,llm_roleplay,2,2,2,2,4,6,4,2,1.0,1.0,0
2025,Iraq,1.0,google/gemini-2.0-flash-001,llm_roleplay,2,2,1,3,10,1,2,2,1.0,,1
2025,Morocco,1.0,google/gemini-2.0-flash-001,llm_roleplay,2,2,1,2,10,1,3,1,1.0,-1.0,0
2025,China,1.0,google/gemini-2.0-flash-001,llm_roleplay,2,2,1,3,3,4,5,1,1.0,,1
2025,Argentina,1.0,google/gemini-2.0-flash-001,llm_roleplay,2,2,2,2,7,7,6,2,1.0,1.0,0
2025,United States,1.0,google/gemini-2.0-flash-001,llm_roleplay,2,1,3,2,6,6,5,2,2.0,2.0,0
2025,Singapore,1.0,google/gemini-2.0-flash-001,llm_roleplay,2,2,1,2,6,5,5,1,1.0,1.0,0
2025,Algeria,1.0,google/gemini-2.0-flash-001,llm_roleplay,2,2,1,2,10,1,3,2,1.0,-1.0,0
2025,Chile,1.0,google/gemini-2.0-flash-001,llm_roleplay,2,2,2,2,7,6,4,2,1.0,1.0,0
2025,Canada,1.0,google/gemini-2.0-flash-001,llm_roleplay,2,1,3,2,4,9,7,2,2.0,2.0,0
2025,Ecuador,1.0,google/gemini-2.0-flash-001,llm_roleplay,2,2,1,2,9,4,3,1,1.0,,1
2025,Guatemala,1.0,google/gemini-2.0-flash-001,llm_roleplay,2,2,1,2,10,4,3,2,1.0,-1.0,0
