model,country,cultural_region,roleplay,A008,E018,F063,F118,F120,G006,E025,A165
openai/gpt-4o-mini,Austria,AI Roleplay,True,2.0,2.0,8.0,7.0,4.0,2.0,,
openai/gpt-4o-mini,Azerbaijan,AI Roleplay,True,2.0,,9.0,2.0,4.0,,2.0,
openai/gpt-4o-mini,Bangladesh,AI Roleplay,True,2.0,,10.0,2.0,3.0,,2.0,
openai/gpt-4o-mini,Algeria,AI Roleplay,True,2.0,,10.0,,3.0,,2.0,
openai/gpt-4o-mini,Albania,AI Roleplay,True,2.0,,10.0,2.0,3.0,,2.0,
openai/gpt-4o-mini,Argentina,AI Roleplay,True,2.0,,8.0,7.0,5.0,,,
openai/gpt-4o-mini,Australia,AI Roleplay,True,2.0,3.0,4.0,10.0,7.0,,,
openai/gpt-4o-mini,Andorra,AI Roleplay,True,,,9.0,5.0,3.0,,,
openai/gpt-4o-mini,Armenia,AI Roleplay,True,2.0,,10.0,3.0,4.0,,2.0,
openai/gpt-4o-mini,Belgium,AI Roleplay,True,2.0,3.0,7.0,8.0,5.0,2.0,,
openai/gpt-4o-mini,Bulgaria,AI Roleplay,True,2.0,,9.0,4.0,4.0,,2.0,2.0
openai/gpt-4o-mini,Bosnia and Herzegovina,AI Roleplay,True,2.0,,9.0,3.0,4.0,2.0,2.0,
openai/gpt-4o-mini,Bolivia (Plurinational State of),AI Roleplay,True,2.0,,9.0,4.0,3.0,,2.0,
openai/gpt-4o-mini,Belarus,AI Roleplay,True,2.0,,9.0,3.0,4.0,2.0,2.0,2.0
openai/gpt-4o-mini,Brazil,AI Roleplay,True,,,10.0,7.0,4.0,,2.0,
openai/gpt-4o-mini,Myanmar,AI Roleplay,True,2.0,,9.0,3.0,3.0,,2.0,
openai/gpt-4o-mini,Canada,AI Roleplay,True,2.0,3.0,5.0,10.0,7.0,,,
openai/gpt-4o-mini,China,AI Roleplay,True,2.0,,5.0,4.0,4.0,,2.0,
openai/gpt-4o-mini,Taiwan (Province of China),AI Roleplay,True,2.0,,7.0,5.0,4.0,,2.0,
openai/gpt-4o-mini,Colombia,AI Roleplay,True,2.0,,10.0,5.0,4.0,,2.0,
openai/gpt-4o-mini,Chile,AI Roleplay,True,2.0,,9.0,6.0,4.0,,2.0,
openai/gpt-4o-mini,Croatia,AI Roleplay,True,2.0,,9.0,4.0,3.0,,,
openai/gpt-4o-mini,Cyprus,AI Roleplay,True,2.0,,9.0,4.0,4.0,,2.0,
openai/gpt-4o-mini,Czechia,AI Roleplay,True,2.0,,8.0,4.0,3.0,,,
openai/gpt-4o-mini,Denmark,AI Roleplay,True,,3.0,3.0,10.0,8.0,2.0,,
openai/gpt-4o-mini,Finland,AI Roleplay,True,2.0,3.0,3.0,10.0,7.0,2.0,,
openai/gpt-4o-mini,Ecuador,AI Roleplay,True,2.0,,10.0,5.0,4.0,,2.0,
openai/gpt-4o-mini,Estonia,AI Roleplay,True,2.0,,8.0,4.0,4.0,,,2.0
openai/gpt-4o-mini,France,AI Roleplay,True,2.0,3.0,7.0,8.0,6.0,,,
openai/gpt-4o-mini,Ethiopia,AI Roleplay,True,2.0,,10.0,,2.0,,2.0,
openai/gpt-4o-mini,Georgia,AI Roleplay,True,2.0,,10.0,2.0,3.0,,,
openai/gpt-4o-mini,"Palestine, State of",AI Roleplay,True,2.0,,10.0,,3.0,,2.0,
openai/gpt-4o-mini,Germany,AI Roleplay,True,2.0,3.0,4.0,10.0,7.0,2.0,,
openai/gpt-4o-mini,Hong Kong,AI Roleplay,True,2.0,,5.0,5.0,4.0,2.0,2.0,
openai/gpt-4o-mini,Greece,AI Roleplay,True,2.0,,10.0,4.0,4.0,,2.0,
openai/gpt-4o-mini,Haiti,AI Roleplay,True,2.0,,10.0,3.0,3.0,,2.0,
openai/gpt-4o-mini,Ghana,AI Roleplay,True,2.0,,10.0,2.0,3.0,,2.0,
openai/gpt-4o-mini,Guatemala,AI Roleplay,True,,,10.0,4.0,2.0,,2.0,
openai/gpt-4o-mini,Hungary,AI Roleplay,True,2.0,,8.0,4.0,3.0,,2.0,
openai/gpt-4o-mini,Iceland,AI Roleplay,True,,3.0,3.0,10.0,8.0,,,
