model,condition,country,language,question_id,value_dimension,modal_response,consensus_count,consistency_rate
anthropic/claude-sonnet-4.5,baseline,,ar,A008,Traditional vs. Secular-Rational,2,5,1.0
anthropic/claude-sonnet-4.5,baseline,,ar,A165,Traditional vs. Secular-Rational,2,5,1.0
anthropic/claude-sonnet-4.5,baseline,,ar,E018,Traditional vs. Secular-Rational,2,5,1.0
anthropic/claude-sonnet-4.5,baseline,,ar,E025,Traditional vs. Secular-Rational,2,5,1.0
anthropic/claude-sonnet-4.5,baseline,,ar,F063,Survival vs. Self-Expression,NA,0,0.0
anthropic/claude-sonnet-4.5,baseline,,ar,F118,Survival vs. Self-Expression,10,5,1.0
anthropic/claude-sonnet-4.5,baseline,,ar,F120,Survival vs. Self-Expression,NA,0,0.0
anthropic/claude-sonnet-4.5,baseline,,ar,G006,Survival vs. Self-Expression,2,5,1.0
anthropic/claude-sonnet-4.5,baseline,,ar,Y002,Traditional vs. Secular-Rational,3 1,5,1.0
anthropic/claude-sonnet-4.5,baseline,,ar,Y003,Traditional vs. Secular-Rational,1 4 6 8 9,5,1.0
anthropic/claude-sonnet-4.5,baseline,,en,A008,Traditional vs. Secular-Rational,2,5,1.0
anthropic/claude-sonnet-4.5,baseline,,en,A165,Traditional vs. Secular-Rational,2,5,1.0
anthropic/claude-sonnet-4.5,baseline,,en,E018,Traditional vs. Secular-Rational,2,5,1.0
anthropic/claude-sonnet-4.5,baseline,,en,E025,Traditional vs. Secular-Rational,2,5,1.0
anthropic/claude-sonnet-4.5,baseline,,en,F063,Survival vs. Self-Expression,5,5,1.0
anthropic/claude-sonnet-4.5,baseline,,en,F118,Survival vs. Self-Expression,10,5,1.0
anthropic/claude-sonnet-4.5,baseline,,en,F120,Survival vs. Self-Expression,5,5,1.0
anthropic/claude-sonnet-4.5,baseline,,en,G006,Survival vs. Self-Expression,2,5,1.0
anthropic/claude-sonnet-4.5,baseline,,en,Y002,Traditional vs. Secular-Rational,2 4,5,1.0
anthropic/claude-sonnet-4.5,baseline,,en,Y003,Traditional vs. Secular-Rational,4 6 2 10 8,3,0.6
anthropic/claude-sonnet-4.5,baseline,,es,A008,Traditional vs. Secular-Rational,2,5,1.0
anthropic/claude-sonnet-4.5,baseline,,es,A165,Traditional vs. Secular-Rational,1,5,1.0
anthropic/claude-sonnet-4.5,baseline,,es,E018,Traditional vs. Secular-Rational,2,5,1.0
anthropic/claude-sonnet-4.5,baseline,,es,E025,Traditional vs. Secular-Rational,2,5,1.0
anthropic/claude-sonnet-4.5,baseline,,es,F063,Survival vs. Self-Expression,5,5,1.0
anthropic/claude-sonnet-4.5,baseline,,es,F118,Survival vs. Self-Expression,10,5,1.0
anthropic/claude-sonnet-4.5,baseline,,es,F120,Survival vs. Self-Expression,5,5,1.0
anthropic/claude-sonnet-4.5,baseline,,es,G006,Survival vs. Self-Expression,2,5,1.0
anthropic/claude-sonnet-4.5,baseline,,es,Y002,Traditional vs. Secular-Rational,4 2,5,1.0
anthropic/claude-sonnet-4.5,baseline,,es,Y003,Traditional vs. Secular-Rational,4 6 8 10 3,5,1.0
anthropic/claude-sonnet-4.5,baseline,,fr,A008,Traditional vs. Secular-Rational,2,5,1.0
anthropic/claude-sonnet-4.5,baseline,,fr,A165,Traditional vs. Secular-Rational,2,5,1.0
anthropic/claude-sonnet-4.5,baseline,,fr,E018,Traditional vs. Secular-Rational,1,5,1.0
anthropic/claude-sonnet-4.5,baseline,,fr,E025,Traditional vs. Secular-Rational,2,5,1.0
anthropic/claude-sonnet-4.5,baseline,,fr,F063,Survival vs. Self-Expression,1,5,1.0
anthropic/claude-sonnet-4.5,baseline,,fr,F118,Survival vs. Self-Expression,10,5,1.0
anthropic/claude-sonnet-4.5,baseline,,fr,F120,Survival vs. Self-Expression,5,5,1.0
anthropic/claude-sonnet-4.5,baseline,,fr,G006,Survival vs. Self-Expression,2,5,1.0
anthropic/claude-sonnet-4.5,baseline,,fr,Y002,Traditional vs. Secular-Rational,2 4,5,1.0
anthropic/claude-sonnet-4.5,baseline,,fr,Y003,Traditional vs. Secular-Rational,2 4 6 8 10,5,1.0
anthropic/claude-sonnet-4.5,baseline,,ru,A008,Traditional vs. Secular-Rational,2,5,1.0
anthropic/claude-sonnet-4.5,baseline,,ru,A165,Traditional vs. Secular-Rational,2,5,1.0
anthropic/claude-sonnet-4.5,baseline,,ru,E018,Traditional vs. Secular-Rational,3,5,1.0
anthropic/claude-sonnet-4.5,baseline,,ru,E025,Traditional vs. Secular-Rational,2,5,1.0
anthropic/claude-sonnet-4.5,baseline,,ru,F063,Survival vs. Self-Expression,5,5,1.0
anthropic/claude-sonnet-4.5,baseline,,ru,F118,Survival vs. Self-Expression,10,5,1.0
anthropic/claude-sonnet-4.5,baseline,,ru,F120,Survival vs. Self-Expression,5,5,1.0
anthropic/claude-sonnet-4.5,baseline,,ru,G006,Survival vs. Self-Expression,2,5,1.0
anthropic/claude-sonnet-4.5,baseline,,ru,Y002,Traditional vs. Secular-Rational,2 4,5,1.0
anthropic/claude-sonnet-4.5,baseline,,ru,Y003,Traditional vs. Secular-Rational,2 4 6 8 10,5,1.0
anthropic/claude-sonnet-4.5,baseline,,zh-cn,A008,Traditional vs. Secular-Rational,2,5,1.0
anthropic/claude-sonnet-4.5,baseline,,zh-cn,A165,Traditional vs. Secular-Rational,2,5,1.0
anthropic/claude-sonnet-4.5,baseline,,zh-cn,E018,Traditional vs. Secular-Rational,2,5,1.0
anthropic/claude-sonnet-4.5,baseline,,zh-cn,E025,Traditional vs. Secular-Rational,2,5,1.0
anthropic/claude-sonnet-4.5,baseline,,zh-cn,F063,Survival vs. Self-Expression,5,5,1.0
anthropic/claude-sonnet-4.5,baseline,,zh-cn,F118,Survival vs. Self-Expression,5,3,0.6
anthropic/claude-sonnet-4.5,baseline,,zh-cn,F120,Survival vs. Self-Expression,5,5,1.0
anthropic/claude-sonnet-4.5,baseline,,zh-cn,G006,Survival vs. Self-Expression,2,5,1.0
anthropic/claude-sonnet-4.5,baseline,,zh-cn,Y002,Traditional vs. Secular-Rational,2 4,5,1.0
anthropic/claude-sonnet-4.5,baseline,,zh-cn,Y003,Traditional vs. Secular-Rational,2 4 6 8 10,5,1.0
claude-3-7-sonnet-20250219,baseline,,ar,A008,Traditional vs. Secular-Rational,1,5,1.0
claude-3-7-sonnet-20250219,baseline,,ar,A165,Traditional vs. Secular-Rational,1,5,1.0
claude-3-7-sonnet-20250219,baseline,,ar,E018,Traditional vs. Secular-Rational,2,5,1.0
claude-3-7-sonnet-20250219,baseline,,ar,E025,Traditional vs. Secular-Rational,2,5,1.0
claude-3-7-sonnet-20250219,baseline,,ar,F063,Survival vs. Self-Expression,5,5,1.0
claude-3-7-sonnet-20250219,baseline,,ar,F118,Survival vs. Self-Expression,5,5,1.0
claude-3-7-sonnet-20250219,baseline,,ar,F120,Survival vs. Self-Expression,5,5,1.0
claude-3-7-sonnet-20250219,baseline,,ar,G006,Survival vs. Self-Expression,1,5,1.0
claude-3-7-sonnet-20250219,baseline,,ar,Y002,Traditional vs. Secular-Rational,3 1,5,1.0
claude-3-7-sonnet-20250219,baseline,,ar,Y003,Traditional vs. Secular-Rational,1 4 6 8 9,5,1.0
claude-3-7-sonnet-20250219,baseline,,en,A008,Traditional vs. Secular-Rational,1,4,0.8
claude-3-7-sonnet-20250219,baseline,,en,A165,Traditional vs. Secular-Rational,1,5,1.0
claude-3-7-sonnet-20250219,baseline,,en,E018,Traditional vs. Secular-Rational,2,5,1.0
claude-3-7-sonnet-20250219,baseline,,en,E025,Traditional vs. Secular-Rational,2,5,1.0
claude-3-7-sonnet-20250219,baseline,,en,F063,Survival vs. Self-Expression,5,5,1.0
claude-3-7-sonnet-20250219,baseline,,en,F118,Survival vs. Self-Expression,5,5,1.0
claude-3-7-sonnet-20250219,baseline,,en,F120,Survival vs. Self-Expression,5,5,1.0
claude-3-7-sonnet-20250219,baseline,,en,G006,Survival vs. Self-Expression,2,5,1.0
claude-3-7-sonnet-20250219,baseline,,en,Y002,Traditional vs. Secular-Rational,2 4,5,1.0
claude-3-7-sonnet-20250219,baseline,,en,Y003,Traditional vs. Secular-Rational,1 4 6 8 10,5,1.0
claude-3-7-sonnet-20250219,baseline,,es,A008,Traditional vs. Secular-Rational,1,5,1.0
claude-3-7-sonnet-20250219,baseline,,es,A165,Traditional vs. Secular-Rational,2,5,1.0
claude-3-7-sonnet-20250219,baseline,,es,E018,Traditional vs. Secular-Rational,1,5,1.0
claude-3-7-sonnet-20250219,baseline,,es,E025,Traditional vs. Secular-Rational,2,4,1.0
claude-3-7-sonnet-20250219,baseline,,es,F063,Survival vs. Self-Expression,5,5,1.0
